amount_of_blocks,amount_of_threads,time_to_finish_task
2,2,109.156
2,4,52.0396
2,6,35.7546
2,8,27.6484
2,10,22.7512
2,12,19.5227
2,14,17.2798
2,16,15.4713
2,18,13.7374
2,20,12.3806
2,22,11.2658
2,24,10.3294
2,26,9.54345
2,28,8.85919
2,30,8.29471
2,32,7.76997
4,2,51.9448
4,4,27.6052
4,6,19.4832
4,8,15.4596
4,10,12.3651
4,12,10.3191
4,14,8.86513
4,16,7.76132
4,18,6.90771
4,20,6.22849
4,22,5.68021
4,24,5.20166
4,26,4.81546
4,28,4.48016
4,30,4.17868
4,32,3.93457
6,2,35.7227
6,4,19.4983
6,6,13.7378
6,8,10.3256
6,10,8.26669
6,12,6.91779
6,14,5.94419
6,16,5.20967
6,18,4.64923
6,20,4.19148
6,22,3.81385
6,24,3.50226
6,26,3.2303
6,28,3.01444
6,30,2.81532
6,32,2.66133
8,2,27.6254
8,4,15.4466
8,6,10.3269
8,8,7.76899
8,10,6.22704
8,12,5.20785
8,14,4.48043
8,16,3.91843
8,18,3.50163
8,20,3.163
8,22,2.87392
8,24,2.65228
8,26,2.45288
8,28,2.28169
8,30,2.12609
8,32,2.00316
10,2,22.7504
10,4,12.3701
10,6,8.28415
10,8,6.23939
10,10,5.00683
10,12,4.18821
10,14,3.60071
10,16,3.16484
10,18,2.82619
10,20,2.54631
10,22,2.32429
10,24,2.13551
10,26,1.97457
10,28,1.84544
10,30,1.72242
10,32,1.62928
12,2,19.4985
12,4,10.3355
12,6,6.93075
12,8,5.20699
12,10,4.18738
12,12,3.4992
12,14,3.01916
12,16,2.65416
12,18,2.36482
12,20,2.14117
12,22,1.95514
12,24,1.79895
12,26,1.6673
12,28,1.55429
12,30,1.45561
12,32,1.37264
14,2,17.1901
14,4,8.85935
14,6,5.93189
14,8,4.46874
14,10,3.59213
14,12,3.00553
14,14,2.58774
14,16,2.28084
14,18,2.03826
14,20,1.84152
14,22,1.69212
14,24,1.5511
14,26,1.43549
14,28,1.33768
14,30,1.2466
14,32,1.18049
16,2,15.4395
16,4,7.77252
16,6,5.21657
16,8,3.92868
16,10,3.15929
16,12,2.64658
16,14,2.28482
16,16,2.00625
16,18,1.79849
16,20,1.63239
16,22,1.49388
16,24,1.37469
16,26,1.26955
16,28,1.17926
16,30,1.10933
16,32,1.04907
18,2,13.7347
18,4,6.91931
18,6,4.65752
18,8,3.50606
18,10,2.81792
18,12,2.37478
18,14,2.04176
18,16,1.80302
18,18,1.60436
18,20,1.46263
18,22,1.33051
18,24,1.23204
18,26,1.15277
18,28,1.06654
18,30,1.0032
18,32,0.944374
20,2,12.3746
20,4,6.23947
20,6,4.18404
20,8,3.15939
20,10,2.54619
20,12,2.13378
20,14,1.83848
20,16,1.62607
20,18,1.45708
20,20,1.32008
20,22,1.20808
20,24,1.1199
20,26,1.04025
20,28,0.971584
20,30,0.909354
20,32,0.848638
22,2,11.254
22,4,5.68053
22,6,3.8037
22,8,2.88414
22,10,2.32349
22,12,1.94942
22,14,1.68034
22,16,1.47662
22,18,1.33466
22,20,1.19993
22,22,1.10929
22,24,1.02369
22,26,0.949106
22,28,0.891189
22,30,0.831707
22,32,0.780539
24,2,10.3249
24,4,5.21853
24,6,3.50107
24,8,2.65313
24,10,2.14541
24,12,1.79401
24,14,1.55632
24,16,1.38245
24,18,1.23311
24,20,1.11813
24,22,1.02029
24,24,0.944688
24,26,0.882288
24,28,0.82223
24,30,0.766594
24,32,0.732829
26,2,9.5338
26,4,4.81409
26,6,3.24185
26,8,2.45735
26,10,1.97725
26,12,1.82249
26,14,1.42968
26,16,1.27015
26,18,1.13524
26,20,1.03445
26,22,0.945442
26,24,0.866878
26,26,0.812451
26,28,0.766331
26,30,0.719514
26,32,0.680613
28,2,8.85575
28,4,4.47243
28,6,3.01253
28,8,2.27927
28,10,1.83829
28,12,1.54963
28,14,1.34573
28,16,1.18747
28,18,1.0694
28,20,0.96881
28,22,0.885094
28,24,0.824837
28,26,0.772426
28,28,0.71871
28,30,0.679034
28,32,0.634587
30,2,8.28007
30,4,4.18604
30,6,2.82021
30,8,2.13568
30,10,1.73015
30,12,1.46955
30,14,1.26016
30,16,1.1093
30,18,0.999002
30,20,0.911514
30,22,0.835467
30,24,0.773982
30,26,0.718926
30,28,0.676504
30,30,0.636846
30,32,0.604338
32,2,7.76953
32,4,3.92433
32,6,2.65116
32,8,2.013
32,10,1.62616
32,12,1.37228
32,14,1.20111
32,16,1.05094
32,18,0.94013
32,20,0.859294
32,22,0.783885
32,24,0.730205
32,26,0.679346
32,28,0.635528
32,30,0.600826
32,32,0.564413
